,dao_name,date,new_users_count,existing_users,new_user_percentage
209,Biconomy,2022-03-12,21.0,30.0,41.1765
210,Biconomy,2022-12-06,18.0,33.0,35.2941
211,Biconomy,2022-04-27,27.0,49.0,35.5263
212,Biconomy,2023-01-06,70.0,51.0,57.8512
213,Biconomy,2021-12-25,97.0,65.0,59.8765
214,Biconomy,2022-04-20,224.0,147.0,60.3774
215,Biconomy,2022-05-04,23.0,30.0,43.3962
216,Biconomy,2022-01-06,124.0,104.0,54.386
217,Biconomy,2021-12-22,55.0,44.0,55.5556
218,Biconomy,2022-02-05,90.0,207.0,30.303
219,Biconomy,2022-05-29,10.0,21.0,32.2581
220,Biconomy,2022-12-20,31.0,46.0,40.2597
221,Biconomy,2022-05-15,38.0,62.0,38.0
222,Biconomy,2022-11-17,67.0,43.0,60.9091
223,Biconomy,2023-01-01,12.0,16.0,42.8571
224,Biconomy,2022-12-13,158.0,81.0,66.1088
225,Biconomy,2021-12-28,80.0,69.0,53.6913
226,Biconomy,2022-10-08,47.0,56.0,45.6311
227,Biconomy,2022-05-23,22.0,31.0,41.5094
228,Biconomy,2022-08-12,13.0,49.0,20.9677
229,Biconomy,2022-09-16,20.0,58.0,25.641
230,Biconomy,2022-11-14,171.0,66.0,72.1519
231,Biconomy,2022-02-01,14.0,27.0,34.1463
232,Biconomy,2022-12-11,46.0,62.0,42.5926
233,Biconomy,2022-08-17,23.0,42.0,35.3846
234,Biconomy,2022-01-16,60.0,57.0,51.2821
235,Biconomy,2022-12-02,29.0,41.0,41.4286
236,Biconomy,2021-12-14,112.0,58.0,65.8824
237,Biconomy,2021-12-01,508.0,4.0,99.2188
238,Biconomy,2022-07-24,27.0,64.0,29.6703
239,Biconomy,2022-06-22,29.0,35.0,45.3125
240,Biconomy,2022-07-04,48.0,89.0,35.0365
241,Biconomy,2022-03-11,28.0,52.0,35.0
242,Biconomy,2022-06-01,32.0,53.0,37.6471
243,Biconomy,2022-10-01,25.0,33.0,43.1034
244,Biconomy,2022-04-30,54.0,55.0,49.5413
245,Biconomy,2022-04-18,26.0,34.0,43.3333
246,Biconomy,2022-02-14,20.0,63.0,24.0964
247,Biconomy,2022-07-26,21.0,54.0,28.0
248,Biconomy,2021-12-16,58.0,36.0,61.7021
249,Biconomy,2022-03-23,40.0,46.0,46.5116
250,Biconomy,2022-05-05,14.0,32.0,30.4348
251,Biconomy,2022-11-24,60.0,72.0,45.4545
252,Biconomy,2022-09-09,18.0,39.0,31.5789
253,Biconomy,2022-09-12,12.0,44.0,21.4286
254,Biconomy,2022-12-30,11.0,34.0,24.4444
255,Biconomy,2022-01-23,24.0,31.0,43.6364
256,Biconomy,2021-11-24,3.0,0.0,100.0
257,Biconomy,2022-09-07,19.0,57.0,25.0
258,Biconomy,2021-12-11,142.0,68.0,67.619
259,Biconomy,2021-11-26,1.0,0.0,100.0
260,Biconomy,2022-08-22,17.0,46.0,26.9841
261,Biconomy,2022-06-26,23.0,36.0,38.9831
262,Biconomy,2022-03-06,30.0,46.0,39.4737
263,Biconomy,2022-07-31,71.0,48.0,59.6639
264,Biconomy,2022-03-21,40.0,75.0,34.7826
265,Biconomy,2022-08-16,16.0,34.0,32.0
266,Biconomy,2022-10-21,25.0,62.0,28.7356
267,Biconomy,2022-03-02,43.0,35.0,55.1282
268,Biconomy,2021-12-27,120.0,67.0,64.1711
269,Biconomy,2021-12-21,52.0,53.0,49.5238
270,Biconomy,2022-03-08,49.0,43.0,53.2609
271,Biconomy,2022-12-07,24.0,44.0,35.2941
272,Biconomy,2022-06-29,14.0,50.0,21.875
273,Biconomy,2022-02-04,56.0,145.0,27.8607
274,Biconomy,2022-01-01,49.0,39.0,55.6818
275,Biconomy,2022-10-12,25.0,48.0,34.2466
276,Biconomy,2022-12-22,26.0,33.0,44.0678
277,Biconomy,2022-09-23,25.0,50.0,33.3333
278,Biconomy,2022-05-31,31.0,68.0,31.3131
279,Biconomy,2022-10-06,105.0,55.0,65.625
280,Biconomy,2021-12-12,92.0,45.0,67.1533
281,Biconomy,2022-08-10,22.0,58.0,27.5
282,Biconomy,2022-07-21,17.0,46.0,26.9841
283,Biconomy,2022-08-01,19.0,50.0,27.5362
284,Biconomy,2022-04-05,28.0,38.0,42.4242
285,Biconomy,2021-11-29,4.0,0.0,100.0
286,Biconomy,2022-11-22,48.0,47.0,50.5263
287,Biconomy,2022-09-17,18.0,41.0,30.5085
288,Biconomy,2022-05-16,33.0,60.0,35.4839
289,Biconomy,2022-11-26,37.0,35.0,51.3889
290,Biconomy,2022-09-27,17.0,47.0,26.5625
291,Biconomy,2022-06-09,16.0,48.0,25.0
292,Biconomy,2022-05-12,40.0,48.0,45.4545
293,Biconomy,2022-11-03,37.0,100.0,27.0073
294,Biconomy,2022-03-17,83.0,54.0,60.5839
295,Biconomy,2022-06-28,48.0,35.0,57.8313
296,Biconomy,2022-04-10,25.0,32.0,43.8596
297,Biconomy,2022-07-23,37.0,84.0,30.5785
298,Biconomy,2022-03-29,38.0,38.0,50.0
299,Biconomy,2022-01-19,39.0,27.0,59.0909
300,Biconomy,2022-04-19,19.0,27.0,41.3043
301,Biconomy,2022-07-10,25.0,39.0,39.0625
302,Biconomy,2022-06-03,25.0,48.0,34.2466
303,Biconomy,2022-08-07,19.0,38.0,33.3333
304,Biconomy,2022-07-03,49.0,67.0,42.2414
305,Biconomy,2022-02-28,67.0,33.0,67.0
306,Biconomy,2022-05-13,47.0,70.0,40.1709
307,Biconomy,2022-08-29,23.0,51.0,31.0811
308,Biconomy,2021-12-09,1628.0,218.0,88.1907
309,Biconomy,2022-12-09,15.0,24.0,38.4615
310,Biconomy,2021-12-23,73.0,39.0,65.1786
311,Biconomy,2022-09-28,16.0,41.0,28.0702
312,Biconomy,2022-12-27,21.0,52.0,28.7671
313,Biconomy,2022-10-23,12.0,51.0,19.0476
314,Biconomy,2022-07-28,19.0,59.0,24.359
315,Biconomy,2022-06-10,23.0,32.0,41.8182
316,Biconomy,2022-11-29,39.0,66.0,37.1429
317,Biconomy,2022-11-09,102.0,88.0,53.6842
318,Biconomy,2022-10-15,23.0,63.0,26.7442
319,Biconomy,2022-07-13,17.0,36.0,32.0755
320,Biconomy,2022-12-15,33.0,44.0,42.8571
321,Biconomy,2022-05-19,33.0,55.0,37.5
322,Biconomy,2022-03-09,39.0,37.0,51.3158
323,Biconomy,2022-04-09,30.0,19.0,61.2245
324,Biconomy,2022-02-21,22.0,43.0,33.8462
325,Biconomy,2022-10-17,24.0,43.0,35.8209
326,Biconomy,2022-10-03,22.0,60.0,26.8293
327,Biconomy,2022-10-10,23.0,36.0,38.9831
328,Biconomy,2021-12-24,74.0,50.0,59.6774
329,Biconomy,2022-08-09,18.0,34.0,34.6154
330,Biconomy,2022-04-07,22.0,26.0,45.8333
331,Biconomy,2021-12-13,136.0,63.0,68.3417
332,Biconomy,2022-07-06,26.0,54.0,32.5
333,Biconomy,2021-12-07,253.0,75.0,77.1341
334,Biconomy,2022-01-12,43.0,39.0,52.439
335,Biconomy,2022-08-19,42.0,49.0,46.1538
336,Biconomy,2021-12-05,284.0,80.0,78.022
337,Biconomy,2022-05-26,24.0,32.0,42.8571
338,Biconomy,2022-07-17,37.0,38.0,49.3333
339,Biconomy,2022-08-28,25.0,106.0,19.084
340,Biconomy,2022-05-30,17.0,19.0,47.2222
341,Biconomy,2022-05-11,35.0,77.0,31.25
342,Biconomy,2022-07-27,21.0,62.0,25.3012
343,Biconomy,2022-04-24,45.0,42.0,51.7241
344,Biconomy,2022-03-14,31.0,42.0,42.4658
345,Biconomy,2022-10-28,32.0,30.0,51.6129
346,Biconomy,2022-10-05,22.0,46.0,32.3529
347,Biconomy,2022-01-13,57.0,51.0,52.7778
348,Biconomy,2023-01-02,24.0,36.0,40.0
349,Biconomy,2022-10-18,32.0,46.0,41.0256
350,Biconomy,2022-01-20,38.0,38.0,50.0
351,Biconomy,2022-11-16,68.0,59.0,53.5433
352,Biconomy,2023-01-10,8.0,15.0,34.7826
353,Biconomy,2022-11-20,33.0,41.0,44.5946
354,Biconomy,2022-10-04,20.0,48.0,29.4118
355,Biconomy,2022-02-18,36.0,40.0,47.3684
356,Biconomy,2022-12-21,35.0,54.0,39.3258
357,Biconomy,2022-11-15,100.0,80.0,55.5556
358,Biconomy,2022-11-28,39.0,49.0,44.3182
359,Biconomy,2022-11-07,56.0,64.0,46.6667
360,Biconomy,2022-08-26,13.0,55.0,19.1176
361,Biconomy,2022-05-20,14.0,36.0,28.0
362,Biconomy,2022-04-02,41.0,76.0,35.0427
363,Biconomy,2022-11-27,27.0,33.0,45.0
364,Biconomy,2021-12-29,61.0,58.0,51.2605
365,Biconomy,2021-12-02,5654.0,88.0,98.4674
366,Biconomy,2022-07-19,27.0,52.0,34.1772
367,Biconomy,2022-01-05,108.0,132.0,45.0
368,Biconomy,2022-03-30,44.0,35.0,55.6962
369,Biconomy,2022-04-12,17.0,25.0,40.4762
370,Biconomy,2022-05-06,19.0,39.0,32.7586
371,Biconomy,2022-05-25,9.0,37.0,19.5652
372,Biconomy,2021-12-06,293.0,96.0,75.3213
373,Biconomy,2021-11-25,1.0,0.0,100.0
374,Biconomy,2022-07-25,21.0,40.0,34.4262
375,Biconomy,2022-12-04,30.0,26.0,53.5714
376,Biconomy,2021-10-26,1.0,0.0,100.0
377,Biconomy,2022-03-31,28.0,55.0,33.7349
378,Biconomy,2022-09-03,17.0,46.0,26.9841
379,Biconomy,2022-11-30,43.0,53.0,44.7917
380,Biconomy,2022-04-01,30.0,25.0,54.5455
